1,100,100,100,100
2,0,0,0,0
3,67,,75,
4,43,89,24,8
5,79,97,65,56
6,,,16,
7,,92,29,53
8,65,39,75,100
9,21,57,42,4
10,7,66,46,22
11,18,38,,44
12,98,,22,81
13,21,,47,21
14,53,32,57,10
15,4,76,48,31
16,,21,74,21
17,95,,91,44
18,89,1,70,66
19,12,82,82,
20,,18,40,19
21,,42,93,82
22,29,12,83,95
23,,,,
24,72,,63,29
25,90,63,48,26
26,75,32,95,6
27,25,17,94,77
28,6,83,50,14
29,13,69,51,
30,69,14,,88
31,,13,66,9
32,62,3,56,93
33,,,42,99
34,73,23,77,60
35,1,48,81,96
36,89,,86,
37,,6,18,
38,27,12,,21
39,80,,,27
40,80,85,9,
41,96,51,43,57
42,,62,34,
43,,20,41,68
44,,1,,62
45,76,68,43,22
46,40,82,60,
47,21,51,89,38
48,71,38,20,30
49,60,,1,
50,64,41,74,47
51,46,63,,91
52,2,,15,97
53,,24,,32
54,78,,4,
55,,64,,61
56,51,43,,50
57,74,48,100,47
58,,32,64,47
59,11,23,14,44
60,,,6,
61,25,22,66,
62,,27,34,90
63,39,41,69,34
64,86,49,78,25
65,,33,31,
66,78,77,7,48
67,,94,,71
68,7,10,,71
69,55,61,80,21
70,,3,26,27
71,18,47,91,
72,44,66,26,
73,90,,83,99
74,51,88,75,
75,82,26,23,51
76,34,49,53,
77,67,58,78,
78,19,64,42,40
79,,,,20
80,57,15,36,
81,57,36,44,
82,51,,,12
83,25,67,63,43
84,100,86,30,14
85,76,73,74,17
86,17,82,38,47
87,,86,94,66
88,18,14,47,20
89,90,30,85,44
90,84,26,5,79
91,52,72,,
92,36,73,30,100
93,,65,21,25
94,,,,77
95,11,16,98,39
96,59,,45,7
97,,67,21,89
98,,70,20,31
99,50,86,90,7
100,35,,46,11
101,11,45,36,35
102,6,68,59,
103,3,83,53,73
104,83,,23,76
105,,70,96,90
106,27,,43,65
107,85,,48,
108,85,,,72
109,85,33,18,
110,39,59,33,
111,74,83,51,30
112,62,,,42
113,49,23,73,79
114,33,39,,
115,74,82,14,42
116,,52,47,83
117,59,37,68,78
118,47,,97,89
119,26,22,85,12
120,6,,16,40
121,1,77,78,78
122,5,54,33,44
123,83,76,45,45
124,29,34,,
125,,2,,17
126,92,61,23,30
127,59,47,40,89
128,,,,57
129,45,29,78,
130,,75,25,96
131,95,38,65,56
132,18,85,26,54
133,,9,19,42
134,98,85,44,84
135,92,52,,7
136,90,89,59,44
137,6,41,98,25
138,72,2,8,57
139,85,41,68,
140,,,3,92
141,73,65,79,59
142,21,20,20,100
143,56,44,72,
144,,23,67,39
145,36,,,54
146,33,45,1,18
147,8,68,55,8
148,26,86,39,78
149,64,27,,
150,100,28,26,
151,34,81,27,93
152,33,17,,87
153,72,,15,82
154,13,35,12,69
155,50,,12,87
156,,99,46,82
157,78,33,67,26
158,60,55,39,
159,21,83,65,17
160,,33,30,90
161,18,,59,
162,2,46,,
163,44,,68,91
164,3,50,,14
165,23,77,28,
166,,76,47,
167,,,8,95
168,44,,80,83
169,,27,21,
170,,99,92,70
171,,,,61
172,82,90,,85
173,90,95,78,55
174,,79,54,92
175,36,,18,94
176,37,42,20,87
177,26,60,2,
178,54,25,54,13
179,57,8,79,60
180,,11,90,
181,69,41,65,89
182,85,38,95,59
183,98,9,23,57
184,28,28,,43
185,7,,62,1
186,,12,41,99
187,42,20,16,
188,35,90,84,50
189,65,58,,2
190,74,30,63,98
191,97,20,41,
192,34,89,4,60
193,8,44,6,73
194,47,85,19,31
195,67,49,55,39
196,,2,1,
197,,100,46,
198,,6,98,36
199,,49,93,22
200,93,19,74,20
201,55,72,47,43
202,76,100,76,66
203,,44,16,41
204,95,,48,
205,41,27,25,
206,15,72,,10
207,64,17,61,28
208,92,61,24,4
209,18,31,21,10
210,77,35,7,
211,52,,3,
212,69,,83,17
213,74,3,,
214,32,20,62,
215,7,,76,91
216,62,99,,76
217,50,7,,
218,16,38,17,39
219,52,46,71,59
220,,21,14,
221,78,8,21,8
222,40,,74,
223,14,64,41,
224,94,17,22,14
225,32,30,62,39
226,34,37,98,50
227,83,99,89,42
228,50,32,,16
229,,42,,
230,34,,22,
231,2,10,,24
232,55,51,99,65
233,54,100,42,59
234,24,,94,79
235,10,,20,92
236,73,46,41,85
237,34,61,36,41
238,90,,28,60
239,97,91,,
240,,87,90,1
241,98,82,88,55
242,72,,57,20
243,,82,76,50
244,55,59,,58
245,79,45,7,75
246,1,19,93,96
247,3,74,66,15
248,,28,97,78
249,20,57,66,70
250,78,33,,12
251,42,,14,24
252,11,65,30,96
253,79,10,44,4
254,,18,29,66
255,44,85,31,54
256,,86,62,81
257,66,13,9,72
258,23,41,17,
259,21,,63,61
260,8,41,66,47
261,75,41,70,56
262,63,62,22,82
263,68,35,43,25
264,,,21,18
265,80,,85,71
266,,94,19,38
267,49,64,30,19
268,70,93,32,27
269,49,,8,75
270,62,21,79,
271,64,9,51,29
272,,,,49
273,89,79,27,81
274,14,94,38,10
275,22,6,74,61
276,,33,,100
277,92,3,97,
278,47,,58,13
279,13,1,46,47
280,35,49,1,
281,97,65,19,
282,,47,80,
283,73,2,,
284,,89,35,91
285,39,66,13,5
286,,15,41,60
287,,54,74,1
288,37,81,66,
289,42,81,79,60
290,29,93,9,47
291,4,,49,1
292,91,16,,55
293,53,77,29,
294,41,1,69,42
295,84,57,82,1
296,1,76,56,60
297,,90,20,93
298,71,26,,16
299,64,88,69,70
300,24,20,7,
301,,50,52,63
302,1,,65,79
303,4,74,28,
304,32,72,93,79
305,51,2,89,
306,19,50,30,
307,,69,51,27
308,60,66,,22
309,8,6,,73
310,80,60,87,100
311,8,,,
312,67,,,33
313,56,71,22,81
314,,92,,
315,39,48,57,68
316,84,80,43,28
317,,44,,28
318,83,,36,
319,17,73,29,87
320,,16,58,87
321,55,13,72,
322,10,40,45,97
323,36,56,81,3
324,2,,32,51
325,98,50,85,48
326,42,26,87,5
327,81,38,25,44
328,79,37,45,30
329,40,57,20,62
330,99,71,82,
331,,,83,57
332,95,74,42,
333,50,97,,
334,40,20,,37
335,37,,97,1
336,35,4,78,7
337,64,,63,96
338,23,,98,66
339,5,,73,41
340,79,68,78,59
341,47,48,43,
342,98,92,61,45
343,,55,,87
344,5,90,70,14
345,,26,,13
346,69,75,55,93
347,97,36,9,
348,46,,73,32
349,31,49,22,
350,,,39,
351,,,74,5
352,89,30,34,62
353,2,75,59,76
354,,90,,75
355,58,54,,44
356,90,67,4,15
357,49,54,99,44
358,33,,33,54
359,,32,,69
360,28,19,,59
361,,88,89,79
362,41,42,,59
363,34,77,27,9
364,,,81,25
365,100,12,22,26
366,100,52,85,36
367,22,25,68,52
368,16,24,43,
369,41,90,,73
370,,37,,9
371,18,37,43,54
372,88,67,73,66
373,,94,,86
374,16,32,,99
375,64,25,,1
376,4,82,73,49
377,,40,,79
378,46,43,94,14
379,90,11,,27
380,19,44,,80
381,21,81,84,
382,36,95,36,
383,62,,77,30
384,30,,74,25
385,28,15,42,15
386,,90,73,95
387,75,72,76,
388,94,44,18,37
389,73,58,77,91
390,91,80,96,15
391,94,81,34,75
392,45,76,15,
393,,,98,91
394,35,,49,39
395,89,,73,92
396,9,16,52,51
397,41,19,100,
398,33,89,90,
399,,62,31,50
400,,,51,94
401,19,43,68,
402,51,,6,52
403,24,64,,12
404,20,47,59,
405,,47,26,23
406,18,8,34,26
407,21,,,100
408,12,63,,87
409,34,1,23,7
410,,9,83,85
411,,4,7,71
412,83,42,10,84
413,,,74,72
414,9,69,36,79
415,13,51,16,
416,,22,34,
417,2,82,,78
418,64,75,82,12
419,9,10,33,
420,43,,82,81
421,,2,17,31
422,92,,72,
423,85,55,27,42
424,14,30,5,42
425,,,,28
426,68,72,,80
427,58,39,33,88
428,30,67,73,15
429,26,3,31,44
430,,48,20,85
431,97,,6,
432,69,89,,76
433,68,37,90,22
434,6,90,73,63
435,,1,81,73
436,,55,17,36
437,67,93,,46
438,54,33,38,1
439,76,8,67,66
440,79,,34,77
441,,42,36,
442,72,55,42,92
443,,25,,86
444,31,61,,85
445,22,79,62,41
446,4,3,59,56
447,96,81,,19
448,,,40,8
449,,95,68,47
450,25,72,75,41
451,59,92,86,78
